event,room,slot,instructor
1444,104,1,NA
1445,105,1,NA
1446,106,1,NA
1447,107,1,NA
1448,108,1,NA
1449,109,1,NA
1451,12,1,NA
1457,16,1,NA
1453,18,1,NA
1454,20,1,NA
1460,22,1,NA
1462,26,1,NA
1458,34,1,NA
1456,35,1,NA
1463,41,1,NA
1461,42,1,NA
1450,47,1,NA
1459,58,1,NA
1452,7,1,NA
1455,8,1,NA
1464,104,2,NA
1465,105,2,NA
1466,106,2,NA
1467,107,2,NA
1468,108,2,NA
1469,109,2,NA
1471,12,2,NA
1477,16,2,NA
1473,18,2,NA
1474,20,2,NA
1480,22,2,NA
1482,26,2,NA
1478,34,2,NA
1476,35,2,NA
1483,41,2,NA
1481,42,2,NA
1470,47,2,NA
1479,58,2,NA
1472,7,2,NA
1475,8,2,NA
1484,104,3,NA
1485,105,3,NA
1486,106,3,NA
1487,107,3,NA
1488,108,3,NA
1489,109,3,NA
1491,12,3,NA
1497,16,3,NA
1493,18,3,NA
1494,20,3,NA
1500,22,3,NA
1502,26,3,NA
1498,34,3,NA
1496,35,3,NA
1503,41,3,NA
1501,42,3,NA
1490,47,3,NA
1499,58,3,NA
1492,7,3,NA
1495,8,3,NA
1504,104,4,NA
1505,105,4,NA
1506,106,4,NA
1507,107,4,NA
1508,108,4,NA
1509,109,4,NA
1511,12,4,NA
54,16,4,NA
769,18,4,NA
57,20,4,NA
21,22,4,NA
113,26,4,NA
277,34,4,NA
53,35,4,NA
420,41,4,NA
95,42,4,NA
1510,47,4,NA
403,58,4,NA
1512,7,4,NA
752,8,4,NA
1011,104,5,NA
734,105,5,NA
250,106,5,NA
23,107,5,NA
197,108,5,NA
777,109,5,NA
649,12,5,NA
766,16,5,NA
91,18,5,NA
89,20,5,NA
716,22,5,NA
773,26,5,NA
768,34,5,NA
199,35,5,NA
302,41,5,NA
474,42,5,NA
765,47,5,NA
246,58,5,NA
377,7,5,NA
1082,8,5,NA
740,104,6,NA
1061,105,6,NA
374,106,6,NA
531,107,6,NA
1152,108,6,NA
645,109,6,NA
49,12,6,NA
729,16,6,NA
66,18,6,NA
741,20,6,NA
274,22,6,NA
636,26,6,NA
575,34,6,NA
29,35,6,NA
31,41,6,NA
28,42,6,NA
648,47,6,NA
63,58,6,NA
1216,7,6,NA
436,8,6,NA
485,104,7,NA
268,105,7,NA
1179,106,7,NA
239,107,7,NA
735,108,7,NA
699,109,7,NA
761,12,7,NA
698,16,7,NA
746,18,7,NA
50,20,7,NA
427,22,7,NA
542,26,7,NA
298,34,7,NA
1023,35,7,NA
45,41,7,NA
850,42,7,NA
94,47,7,NA
725,58,7,NA
982,7,7,NA
86,8,7,NA
762,104,8,NA
412,105,8,NA
832,106,8,NA
646,107,8,NA
102,108,8,NA
767,109,8,NA
702,12,8,NA
229,16,8,NA
353,18,8,NA
40,20,8,NA
509,22,8,NA
586,26,8,NA
585,34,8,NA
55,35,8,NA
620,41,8,NA
156,42,8,NA
56,47,8,NA
96,58,8,NA
727,7,8,NA
723,8,8,NA
701,104,9,NA
539,105,9,NA
401,106,9,NA
275,107,9,NA
764,108,9,NA
742,109,9,NA
724,12,9,NA
837,16,9,NA
405,18,9,NA
434,20,9,NA
409,22,9,NA
67,26,9,NA
553,34,9,NA
717,35,9,NA
292,41,9,NA
42,42,9,NA
596,47,9,NA
137,58,9,NA
47,7,9,NA
633,8,9,NA
378,104,10,NA
399,105,10,NA
889,106,10,NA
58,107,10,NA
251,108,10,NA
382,109,10,NA
719,12,10,NA
588,16,10,NA
705,18,10,NA
98,20,10,NA
30,22,10,NA
1019,26,10,NA
738,34,10,NA
36,35,10,NA
145,41,10,NA
707,42,10,NA
235,47,10,NA
200,58,10,NA
650,7,10,NA
838,8,10,NA
